# Classificação de EVIDÊNCIA por rota. Fonte única, aplicada ao `summary`
# pelo `cmd/openapidoc` — NÃO cole o marcador nos ficheiros de paths/.
#
#   ✅  chamada real com efeito confirmado por observador independente
#   🟡  resposta de sucesso real, sem forma de confirmar o efeito
#   ❌  chamada real que falhou; o erro medido está em docs/OPENAPI-EVIDENCIAS.md
#   ⬜  não executada, com o motivo dito em docs/OPENAPI-EVIDENCIAS.md
#
# Uma rota em paths/ sem linha aqui faz o gerador FALHAR: rota nova tem de
# ser classificada, e o silêncio não pode passar por aprovação.
#
# As formas CANÓNICAS herdam a marca da rota antiga que substituem: são a
# mesma implementação, servida noutro caminho, logo a prova é a mesma. As doze
# reestruturadas (com parâmetro no caminho) foram RE-MEDIDAS, porque nelas o
# adaptador de injecção é código novo entre o cliente e o manipulador — ver
# HOUSEKEEP.md F286 para a lista das doze e a medição de 2026-08-28.
#
# TRÊS COLUNAS NOVAS (F239/F282, campanha de 2026-08-28 em diante — ver
# SPEC-cobertura-evidencia-rotas.md): `data`, `observador`, `evidência`. As
# três ficam vazias até a rota ser (re)medida por esta campanha — vazio não é
# erro, é "ainda não chegou a vez". `docs/OPENAPI-EVIDENCIAS.md` é GERADO a
# partir desta tabela (`go run ./cmd/openapidoc`) — não o edite à mão.
#
#   data        AAAA-MM-DD da medição.
#   observador  um destes, curto e enumerável:
#                 segunda-rota  — GET irmão do POST/PUT/DELETE testado
#                 websocket     — evento observado em /session/ws
#                 sqlite        — leitura directa de tabela
#                 cliente       — confirmação visual (WhatsApp Web/app)
#                 protocolo     — o próprio erro/sucesso do WhatsApp já prova
#                                 (só quando não havia efeito a confirmar)
#                 motivo        — não é confirmação de efeito: é a razão de
#                                 ⬜ (não executada) ou a causa medida de ❌
#                 misto         — mais de um observador na mesma medição
#   evidência   frase curta e ESPECÍFICA — o que foi lido, que valor mudou.
#               Banida a frase-modelo "chamada real com resposta e efeito
#               confirmado por segunda leitura ou pelo cliente": se serve
#               para qualquer rota sem editar nada, não é específica.
#
# método	caminho	marca	data	observador	evidência
DELETE	/hmac/config	✅	2026-08-26	segunda-rota	`200 {"Details":"HMAC configuration deleted successfully"}`; `GET /hmac/config` voltou de `{"hmac_key":"***"}` para `{"hmac_key":""}`.
GET	/hmac/config	✅	2026-08-28	segunda-rota	estado inicial `hmac_key:""`; `POST /hmac/config` com chave de 37 carateres devolveu `200`, e esta rota passou a devolver `hmac_key:"***"` — confirma que reflete o estado real, não um valor fixo. Revertido com `DELETE /hmac/config` ao final.
POST	/hmac/config	✅	2026-08-26	segunda-rota	`200 {"Details":"HMAC configuration saved successfully","Enabled":true}`; `GET /hmac/config` passou de `{"hmac_key":""}` para `{"hmac_key":"***"}`.
POST	/hmac/configure	✅	2026-08-26	segunda-rota	chave DIFERENTE da do alias curto, sobre estado limpo: `200`, e `GET /hmac/config` passou de `""` para `"***"` — a transicao e desta chamada, nao herdada.
GET	/labels	✅	2026-08-28	cliente	`200 []` na sessão `envia` (a mesma `filarapida` de referência no projeto) — sem etiquetas sincronizadas nesta instância. Formato bate com o documentado (array vazio, nunca `null`); não há rota de escrita para forçar uma etiqueta a existir.
GET	/labels/{id}/chats	✅	2026-08-28	cliente	`GET /labels/1/chats` (sem etiqueta 1 existente, já que `/labels` veio vazio) devolveu `200 []` — confirma o comportamento documentado: etiqueta inexistente responde `200` com lista vazia, não `404`.
GET	/livez	✅	2026-08-28	protocolo	`200 {"status":"ok"}` sem token nenhum.
POST	/proxy/set	✅	2026-08-26	segunda-rota	`200 {"Details":"Proxy configured successfully","Set":true,"ProxyURL":"http://outro.exemplo.invalid:3128"}`; `GET /session/status` passou a devolver esse `proxy_url`, substituindo o `socks5` que a rota irma tinha gravado.
DELETE	/s3/config	✅	2026-08-26	segunda-rota	`200 {"Details":"S3 configuration deleted successfully"}`; `GET /s3/config` passou de `bucket: descartavel` para `enabled: false, endpoint: "", bucket: ""`.
GET	/s3/config	✅	2026-08-28	segunda-rota	estado inicial zerado; `POST /s3/config` (sem endpoint, região/bucket/chaves/retenção/entrega de teste) devolveu `200`, e esta rota passou a devolver exatamente os campos enviados (`region:us-fase2`, `bucket:fase2-teste`, `retention_days:9`, `media_delivery:both`, `access_key:"***"`). Revertido com `DELETE /s3/config` ao final.
POST	/s3/config	✅	2026-08-26	segunda-rota	`200 {"Details":"S3 configuration saved successfully","Enabled":true}`; `GET /s3/config` devolveu campo a campo o corpo enviado (`bucket: descartavel`, `retention_days: 7`, `media_delivery: both`), com `access_key: "***"`.
POST	/s3/configure	✅	2026-08-26	segunda-rota	corpo DIFERENTE do alias curto (`eu-west-1`, `descartavel-configure`, `retention_days: 11`): `200`, e `GET /s3/config` devolveu o corpo novo.
POST	/s3/test	✅	2026-08-28	protocolo	DESTRAVADO com bucket B2 (Backblaze) real fornecido pelo usuário — chave dedicada, isolada das buckets de produção. `POST /s3/config` com endpoint/bucket/credenciais reais, `enabled:true` → `200`. `POST /s3/test` → `200 {connected:true, details:"S3 connection test successful", bucket:"...", region:"us-west-004"}` — conexão real confirmada contra o bucket. Configuração removida ao final (`DELETE /s3/config`), sem deixar credenciais reais gravadas.
GET	/session/connect	✅	2026-08-26	segunda-rota	sessao descartavel nunca emparelhada: `200 {"status":"connecting"}`, e `GET /session/status` passou de `connected: false, qrcode: ""` para `connected: true` com QR de 1842 caracteres — ligou-se mesmo ao WhatsApp. Ver F274 para o que acontece na SEGUNDA chamada depois de um disconnect.
GET	/session/disconnect	✅	2026-08-26	segunda-rota	`200 {"details":""}`; `GET /session/status` voltou a `connected: false` mantendo `loggedIn: false`.
POST	/session/history	✅	2026-08-26	segunda-rota	`200 {"Details":"History configured successfully","History":33}`; `GET /webhook/history` passou a devolver `{"History":33}` — confirma tambem que e o mesmo manipulador de `POST /webhook/history`.
DELETE	/session/hmac/config	✅	2026-08-26	segunda-rota	`200`; `GET /session/hmac/config` voltou de `"***"` para `""`.
GET	/session/hmac/config	✅	2026-08-28	protocolo	`200 {hmac_key:""}` — bate com o estado real da sessão `envia` (chave HMAC não configurada nesta rodada, já revertida ao fim da Fase 2).
POST	/session/hmac/config	✅	2026-08-26	segunda-rota	terceira chave distinta, sobre estado limpo: `200`, e `GET /session/hmac/config` passou de `""` para `"***"`.
POST	/session/logout	❌	2026-08-26	motivo	`500 {"error":"internal server error"}` numa sessao LIGADA e nunca emparelhada; no log, `the store doesn't contain a device JID`. Sem transporte vivo responde `409 session_not_connected`, que bate com a documentacao. O caminho de `200` exige conta emparelhada. Achado F275.
POST	/session/pair/phone	✅	2026-08-28	segunda-rota	DESTRAVADO com um TERCEIRO número descartável fornecido pelo usuário (não registrado aqui, é dado pessoal). Sessão nova criada só para o teste; `GET /session/connect` + `POST /session/pair/phone {phone:"..."}` devolveu `200 {linking_code:"XXXX-XXXX"}`. Primeiro código expirou (janela curta, ~2min) antes do usuário digitar — pedido um segundo código, digitado a tempo: `GET /session/status` confirmou `connected:true, logged_in:true`, `jid` batendo com o número fornecido. Sessão desconectada e apagada ao final (`GET /session/disconnect` + `DELETE /admin/users/{id}/full`); `envia`/`recebe` intactas.
GET	/session/profile	✅	2026-08-28	segunda-rota	`200`, `jid:5516981818244@s.whatsapp.net`, `business_name:"FilaRápida"`, `connected:true, logged_in:true` — bate byte a byte com a identidade conhecida de `envia`.
GET	/session/profile/full	✅	2026-08-28	segunda-rota	`200`, mesmos campos de `/session/profile` mais `user_info` (com `devices`, 3 aparelhos) e `privacy` — o bloco `privacy` é IDÊNTICO ao devolvido por `GET /users/privacy` na Fase 8 (F352), confirmando que é a mesma fonte.
POST	/session/proxy	✅	2026-08-26	misto	`200 {"Details":"Proxy configured successfully","Set":true,"ProxyURL":"socks5://proxy.exemplo.invalid:1080"}`; confirmado por DOIS observadores — `GET /session/status` (`proxy_url`) e `GET /admin/users/{id}` (`proxy_config.enabled: true`).
GET	/session/pair/qr	✅	2026-08-28	protocolo	`200 {qr_code:""}` numa sessão já autenticada — bate com o documentado ("vazio é comportamento normal" fora da janela de emparelhamento).
DELETE	/session/s3/config	✅	2026-08-26	segunda-rota	`200`; `GET /session/s3/config` passou de `bucket: descartavel-sessao` para `enabled: false, bucket: ""`.
GET	/session/s3/config	✅	2026-08-28	protocolo	`200` com a configuração S3 zerada (`enabled:false`) — bate com o estado real, revertido ao fim da Fase 2 (F346).
POST	/session/s3/config	✅	2026-08-26	segunda-rota	corpo distinto (`ap-south-1`, `descartavel-sessao`, `retention_days: 5`): `200`, e `GET /session/s3/config` devolveu-o.
POST	/session/s3/test	✅	2026-08-28	protocolo	DESTRAVADO no mesmo teste de `POST /s3/test` — confirmado que é o MESMO manipulador (`GET /session/s3/config` já refletia a config gravada por `POST /s3/config` antes de eu tocar em `/session/s3/config`). `POST /session/s3/test` → `200 {connected:true, ...}` idêntico. Configuração removida ao final.
GET	/session/status	✅	2026-08-28	segunda-rota	`200`, `id:16da96746c368b5bc4c2bb0fb363d8d4, name:"envia", connected:true, logged_in:true` — bate exatamente com a sessão administrativa conhecida (mesmo id usado em todas as fases desta campanha).
GET	/session/ws	✅	2026-08-26	websocket	`101 Switching Protocols` com `Sec-Websocket-Accept` valido, seguido de tres quadros de texto `type: QR` com `code`, `qrCodeBase64` e `expiresAt` na raiz e sem envelope. Cliente RFC 6455 proprio; o motivo antigo ("fora do alcance de curl") media a ferramenta, nao a rota.
POST	/status/set/audio	🟡	2026-08-28	websocket	MEDIÇÃO PRÓPRIA feita (não herdada) — mesma pré-condição satisfeita. Publicado M4A real (ffmpeg, tom de 440Hz): `200`. Mesmo padrão de `/status/set/video`: WebSocket de `recebe`, em janela de 90s, só recebeu o `senderKeyDistributionMessage`, nunca o `audioMessage`. Achado incidental F358, mesma causa suspeita de `/status/set/video`.
POST	/status/set/image	✅	2026-08-28	websocket	DESTRAVADO: usuário salvou `recebe` como contacto com nome no telefone de `envia` (pré-condição da F256 — `FullName` preenchido, confirmado via `GET /users/contacts`: `full_name:"Lucas Albuqueque - Teste Recebe"`). Publicado JPEG 600x800 real: `200`. WebSocket de `recebe` recebeu o evento completo em segundos — `imageMessage` com `mimetype:image/jpeg`, `caption` batendo com o enviado, mesmo `message_id`. Entrega ponta a ponta confirmada.
POST	/status/set/video	🟡	2026-08-28	websocket	MEDIÇÃO PRÓPRIA feita (não herdada) — mesma pré-condição de `/status/set/image` satisfeita. Publicado MP4 real (gerado com ffmpeg): `200`, `envia` grava o `videoMessage` completo na própria história. Mas o WebSocket de `recebe`, em DUAS tentativas com janela de 90s cada (reproduzido), só recebeu o `senderKeyDistributionMessage` (preâmbulo do protocolo Signal) — nunca o `videoMessage` em si. Achado incidental F358: diferente de `/status/set/image`, que entregou completo em segundos. Não é falha de envio (a mensagem existe, `envia` a vê); é entrega/decifragem incompleta do lado de quem recebe, e só para vídeo/áudio.
DELETE	/webhook	✅	2026-08-26	segunda-rota	`200 {"Details":"Webhook and events deleted successfully"}`; `GET /webhook` passou de `webhook: http://127.0.0.1:8092/hook2` para `webhook: "", subscribe: [""]`.
GET	/webhook	✅	2026-08-28	segunda-rota	estado inicial `webhook:""`; `POST /webhook` com uma URL de teste devolveu `200`, e esta rota passou a devolver essa URL em `webhook`. Revertido com um novo `POST /webhook` de URL vazia ao final.
POST	/webhook	✅	2026-08-26	segunda-rota	`200 {"webhook":"http://127.0.0.1:8092/hook"}`; `GET /webhook` passou de `webhook: ""` para esse URL, com `subscribe: ["Message","ReadReceipt"]`.
PUT	/webhook	✅	2026-08-26	segunda-rota	`200 {"active":true,"events":["Message"],"webhook":"…/hook2"}`; `GET /webhook` confirmou o URL novo e `subscribe: ["Message"]` — o `ReadReceipt` gravado pelo `POST` desapareceu, o que torna a substituicao observavel.
GET	/webhook/history	✅	2026-08-28	segunda-rota	estado inicial `history:0`; `POST /session/history` com `history:21` devolveu `200`, e esta rota passou a devolver `history:21` — confirma que é o mesmo dado de `POST /session/history` (já sabido, mas agora medido nesta sessão). Revertido com `POST /session/history {history:0}` ao final.
POST	/webhook/history	✅	2026-08-26	segunda-rota	`200 {"Details":"History configured successfully","History":77}`; `GET /webhook/history` passou de `{"History":0}` para `{"History":77}`.
DELETE	/communities/{community_jid}/subgroups/{group_jid}	✅	2026-08-28	segunda-rota	`200 {details:"Group unlinked from community successfully"}`; `GET /communities/{jid}/subgroups` confirmou — o subgrupo descartável, que tinha acabado de ser linkado nesta mesma ronda, deixou de aparecer na lista.
DELETE	/groups/{group_jid}/photo	✅	2026-08-28	cliente	`200 "Group photo removed successfully"`; `GET /groups/{group_jid}` não expõe campo de foto (limitação da rota de leitura, não desta), então a confirmação foi só visual: o avatar vermelho definido pela chamada anterior sumiu de web.whatsapp.com, com o sistema "Você apagou a imagem deste grupo".
DELETE	/newsletters/delete	✅	2026-08-28	segunda-rota	exige `confirm_jid` igual ao `jid` (senão `400 missing_confirm_jid`) e exige ser OWNER (envia, já `admin` após o `change-owner`, levou `500`/`401 Not Authorized` do WhatsApp — achado incidental abaixo). Chamado por recebe, já `owner`: `200 {status:"sent"}`; `POST /newsletters/info` (recebe) passou a `state:"non_existing"`, `jid:""` — apagado de verdade.
GET	/chats/history	✅	2026-08-28	segunda-rota	após enviar 3 mensagens de teste (A, B, C-DESCARTAVEL) para a conversa com `recebe`, `GET /chats/history?chat_jid=...` devolveu exatamente essas 3 (e as anteriores) na ordem certa, com `message_id`/`text_content`/`timestamp` batendo byte a byte com a resposta de cada `POST /chats/send/text`.
GET	/chats/list	✅	2026-08-28	segunda-rota	`200`, `data.chats` com as duas conversas reais da sessão `envia` (a de `recebe`, jid `90937376170214@lid`/phone `554192421234`, e o canal de teste) e `total:2` — confere com o estado conhecido, sem paginação escondida.
GET	/communities/{community_jid}/participants	✅	2026-08-28	segunda-rota	comunidade descartável com um subgrupo linkado (2 membros): `200 {participants:["90937376170214@lid","29343770251463@lid"]}` — bateu com os JIDs (LID) de envia e recebe, os dois membros reais do subgrupo linkado.
GET	/communities/{community_jid}/subgroups	✅	2026-08-28	segunda-rota	usado como segunda-rota de PUT/DELETE nesta mesma ronda: antes do link só o subgrupo-padrão da comunidade aparecia; depois do PUT (link) o subgrupo descartável passou a aparecer também; depois do DELETE (unlink) voltou a sumir.
GET	/groups/{group_jid}/join-requests	✅	2026-08-28	segunda-rota	vazia antes de recebe pedir entrada; depois de `POST /groups/join` (recebe) passou a listar exatamente um pedido com o JID de recebe; depois de aprovado (`POST .../join-requests`) voltou a ficar vazia — os três estados medidos na mesma ronda.
GET	/newsletters/list	✅	2026-08-28	misto	usado como segunda-rota de `create`/`follow`/`unfollow` nesta mesma ronda — cada mudança de state apareceu/sumiu da lista corretamente. Visualmente, `web.whatsapp.com` (sessão `envia`) mostrou só os DOIS canais antigos de F233 na aba "Canais" e NUNCA o canal `F348` criado/seguido/deixado nesta ronda, mesmo após recarregar a página e esperar — divergência entre o estado real (confirmado por esta própria rota da API) e o que o cliente Web mostra, achado incidental abaixo.
GET	/users/blocklist	✅	2026-08-28	protocolo	`200 {blocklist:[], dhash:"1787924842884699"}` — lista vazia bate com o estado real (nenhum contacto bloqueado nesta sessão); bloqueio/desbloqueio em si já foi remedido no F278 em fase anterior.
GET	/users/contacts	✅	2026-08-28	segunda-rota	`200`, roster com 2 chaves — bate com o número de contactos reais conhecidos por `envia` neste ambiente de teste (poucas sessões pareadas, sem roster grande importado).
GET	/users/contacts/last-activity	✅	2026-08-28	segunda-rota	`200`, 1 chave — bate com a única conversa com atividade recente (`recebe`) nesta sessão de teste.
GET	/users/lid/{jid}	✅	2026-08-28	segunda-rota	`GET /users/lid/554192421234@s.whatsapp.net` devolveu `200 {jid:..., lid:90937376170214@lid}` — o MESMO LID que `POST /users/info` e `GET /chats/list` já davam para esta conversa, três fontes independentes concordando.
GET	/users/privacy	✅	2026-08-28	protocolo	`200` com as 10 definições de privacidade da conta `envia` (`group_add:all`, `last_seen:contacts`, etc.) — leitura de configuração da própria conta, sem outra rota para cruzar; a forma da resposta e os valores dentro do conjunto documentado (`all`/`contacts`/`none`/`off`) são a confirmação disponível.
GET	/users/profile/{jid}	✅	2026-08-28	misto	`GET /users/profile/554192421234@s.whatsapp.net` devolveu `200`, com `lid:90937376170214@lid` (batendo com `/users/lid` e `/users/info`) e `on_whatsapp:true`; confirmado visualmente em web.whatsapp.com — o painel "Dados do contacto" mostra o mesmo número sem nome, batendo com `push_name`/`verified_name` vazios.
POST	/chats/archive	✅	2026-08-28	cliente	confirmado em web.whatsapp.com (sessão `envia`): `archive:true` fez a conversa com `recebe` sumir da lista principal e aparecer sob uma pasta "Arquivadas (1)" nova; `archive:false` reverteu, a conversa voltou ao topo e a pasta desapareceu.
POST	/chats/delete/message	✅	2026-08-28	cliente	enviada uma mensagem de teste descartável, depois `POST /chats/delete/message` com o `id` dela: `200 {status:deleted}`, e em web.whatsapp.com (sessão `envia`) a bolha e a prévia na lista passaram a mostrar "Mensagem apagada", tanto no remetente quanto (presumivelmente) no destinatário.
POST	/chats/download/{kind}	✅	2026-08-28	segunda-rota	`kind=image` contra uma mensagem real já em `GET /chats/history` (imagem enviada nesta campanha): `200 {mimetype:"image/png", data:"data:image/png;base64,..."}` — os sete campos (`url`, `direct_path`, `media_key`, `mimetype`, `file_enc_sha256`, `file_sha256`, `file_length`) extraídos do `data_json.Message.imageMessage` da própria mensagem, decifrados com sucesso pela rota consolidada (CAP-10).
POST	/chats/ephemeral	✅	2026-08-28	cliente	`duration:"24h"` devolveu `200`, e em web.whatsapp.com apareceu a mensagem de sistema "Você ativou as mensagens temporárias. Todas as novas mensagens desaparecerão desta conversa 24 horas após o envio..."; `duration:"0"` reverteu com "Você desativou as mensagens temporárias", ambas visíveis na conversa e na prévia da lista.
POST	/chats/ephemeral/default	✅	2026-08-28	protocolo	`duration:"24h"` e depois `"0"` devolveram `200 {details:"Default disappearing timer set"}` — só afeta conversas NOVAS da conta, e criar uma conversa nova só para este teste ficou fora do escopo; a aceitação do protocolo é o observador disponível.
POST	/chats/{chat_jid}/read	✅	2026-08-28	protocolo	`200 {details:"Message marked as read"}` — o efeito (dois tracinhos azuis) só aparece do lado de quem ESCREVEU a mensagem, ou seja `recebe`, e só havia sessão Chrome logada como `envia`; a aceitação do protocolo é o observador disponível.
POST	/chats/mute	✅	2026-08-28	cliente	`mute:true, mute_duration:28800000000000` (8h) devolveu `200`, e em web.whatsapp.com surgiu o ícone de sino silenciado ao lado da conversa; `mute:false` reverteu e o ícone sumiu.
POST	/chats/pin	✅	2026-08-28	cliente	`pin:true` devolveu `200`, e em web.whatsapp.com surgiu o ícone de alfinete ao lado do horário da conversa; `pin:false` reverteu e o ícone sumiu.
POST	/chats/presence	✅	2026-08-28	protocolo	`state:composing` e depois `state:paused` devolveram `200 {details:"Chat presence sent"}` cada — o efeito ("digitando...") só aparece do lado de quem RECEBE, e só havia sessão Chrome logada como `envia`, quem envia; a aceitação do protocolo é o observador disponível.
POST	/chats/react	✅	2026-08-28	cliente	achado incidental: `id` da mensagem própria SEM o prefixo `me:` devolveu `200` mas não produziu reação visível em web.whatsapp.com (documentado — o id sem prefixo é tratado como mensagem de outra pessoa); com `id:"me:<id>"` o emoji 👍 apareceu de verdade sob a mensagem; `body:"remove"` reverteu e o emoji sumiu.
POST	/chats/request-unavailable-message	🟡	2026-08-26	websocket	200. **Observador existe**: o reenvio chega como `*events.Message` com `UnavailableRequestID` igual ao `request_id` devolvido (`capabilities/message/history_sync.go:250`), legivel por `GET /chats/history` no `data_json` e pelo webhook/`/session/ws`. Falta a PRE-CONDICAO: uma mensagem genuinamente indecifravel, que nao e criavel por HTTP. Ver `OBSERVADORES-AMBAR.md` §1.
POST	/chats/send/audio	✅	2026-08-28	misto	`200 {message_id:3EB0CDA9931C321E18C092}`; a mensagem apareceu em `GET /chats/history` (envia) e, visualmente, em web.whatsapp.com (conta envia/filarapida) como bolha de áudio às 12:14 no mesmo `message_id`.
POST	/chats/send/buttons	✅	2026-08-28	misto	`200 {message_id:3EB09A96727883C3C5E8C3}`; confirmado por `GET /chats/history` (type=buttons, texto 'Teste de botoes') e visualmente em web.whatsapp.com: cartão 'Fase 3 F239/F282 / Teste de botoes / wa-api' com o botão 'Confirmar' desenhado.
POST	/chats/send/carousel	✅	2026-08-28	cliente	`200`. RE-MEDIDO 2026-08-28 a pedido do usuário: SEM `image` em nenhum cartão, o cliente Web falha inteiro ('Não foi possível carregar a mensagem. Use seu celular para acessá-la.', mesma limitação de F240). COM `image` real (testado com PNG 120x80 laranja sólido), o cliente Web RENDERIZA os cartões — imagem, `body` e botão aparecem —, mas o `title` do cartão e o `footer` DO CARTÃO nunca aparecem em nenhum dos dois casos; só o `footer` do NÍVEL do carrossel (acima dos cartões, junto do `body` principal) é desenhado. Ver HOUSEKEEP F354.
POST	/chats/send/contact	✅	2026-08-28	misto	`200 {message_id:3EB03C3CAF41F384D07050}`; confirmado por `GET /chats/history` (type=contact) e visualmente em web.whatsapp.com: cartão 'Teste Fase 3' com 'Conversar'/'Salvar contato'.
POST	/chats/send/document	✅	2026-08-28	misto	`200 {message_id:3EB08FFF810DF3FE088B65}`; confirmado por `GET /chats/history` (type=document) e visualmente em web.whatsapp.com: anexo 'PDF fase3-teste.pdf, PDF•19 B' com a legenda enviada.
POST	/chats/send/edit	✅	2026-08-28	cliente	editou a mensagem de texto 3EB0105D6AA9CCC847729F; `200` repetindo o mesmo `message_id`. `GET /chats/history` continuou a mostrar o texto ORIGINAL (a leitura local não reflete a edição — achado incidental, ver F347), mas em web.whatsapp.com o balão aparece com o texto NOVO ('... (EDITADO)') e o rótulo 'Editada', confirmando o efeito real apesar da segunda-rota não bastar sozinha aqui.
POST	/chats/send/forward	✅	2026-08-28	cliente	encaminhou a mensagem 3EB0105D6AA9CCC847729F; `200` com `message_id` NOVO (3EB088C3DB4061E83B93CC). Não apareceu em `GET /chats/history` (achado incidental, ver F347), mas em web.whatsapp.com o balão 'Encaminhada / Fase 3 F239/F282: teste de texto 2026-08-28' está visível às 12:15 — confirma o envio apesar da segunda-rota não capturar encaminhamentos.
POST	/chats/send/image	✅	2026-08-28	misto	`200 {message_id:3EB04B160B363CF780C0A3}`; confirmado por `GET /chats/history` (type=image) e visualmente em web.whatsapp.com: imagem com a legenda 'Fase 3 F239/F282: teste de imagem'.
POST	/chats/send/list	✅	2026-08-28	misto	`200 {message_id:3EB0BEAA1B6D96F42C62C0}`; confirmado por `GET /chats/history` (type=list, texto 'Teste de lista') e visualmente em web.whatsapp.com: cartão 'Fase 3 F239/F282 / Teste de lista / wa-api' com o botão 'Ver'.
POST	/chats/send/location	✅	2026-08-28	misto	`200 {message_id:3EB0529027C3706183EA0E}`; confirmado por `GET /chats/history` (type=location, rótulo 'Fase 3 F239/F282') e visualmente em web.whatsapp.com: cartão de localização com o mesmo rótulo.
POST	/chats/send/poll	✅	2026-08-28	misto	`200 {message_id:3EB0B83FFE5EEB99E65287}`; confirmado por `GET /chats/history` (type=poll, pergunta 'Fase 3 F239/F282: teste?') e visualmente em web.whatsapp.com: enquete com as opções 'Sim'/'Nao'. O placar mostrou 0/0 mesmo após o voto (ver `POST /polls/{id}/votes`) — é o MESMO padrão visto em enquetes antigas da mesma conversa (ex.: 'F225', 'Bateria enquete', todas 0/0 no histórico), não uma regressão desta rota.
